master,task,weight,slayer_level,combat_level,needs_unlock,mortimer_creature
nieve,Cave kraken,6,87,80,no,
nieve,Custodian stalker,8,54,1,no,Custodian Stalkers
nieve,Dagannoth,8,1,75,no,
nieve,Dark beasts,5,90,90,no,Dark Beasts
nieve,Drakes,7,84,1,no,Drakes
nieve,Dust devils,6,65,70,no,Dust Devils
nieve,Elves,4,1,70,no,
nieve,Fire giants,9,1,65,no,
nieve,Fossil Island Wyverns,5,66,60,no,
nieve,Frost dragons,5,1,85,no,
nieve,Gargoyles,6,75,80,no,Gargoyles
nieve,Greater demons,7,1,75,no,
nieve,Gryphons,7,51,1,yes,Gryphons
nieve,Hellhounds,8,1,75,no,
nieve,Kalphite,9,1,15,no,
nieve,Kurask,3,70,65,no,Kurask
nieve,Lizardmen,8,1,1,no,
nieve,Metal dragons,12,1,1,no,
nieve,Mutated Zygomites,2,57,60,no,
nieve,Nechryael,7,80,85,no,Nechryael
nieve,Red dragons,5,1,68,yes,
nieve,Scabarites,4,1,85,no,
nieve,Skeletal Wyverns,5,72,70,no,
nieve,Smoke devils,7,93,85,no,Smoke Devils
nieve,Spiritual creatures,6,63,60,no,
nieve,Suqah,8,1,85,no,
nieve,Trolls,6,1,60,no,
nieve,Turoth,3,55,60,no,Turoth
nieve,TzHaar,10,1,1,yes,
nieve,Vampyres,6,1,1,no,
nieve,Warped creatures,6,1,1,yes,Warped Creatures
nieve,Wyrms,7,62,1,no,Wyrms
